"idJeuxComplet","idCatalogue","reference","stock","prixHT","ancienPrixHT","information","isNeuf","etatBoite","etatMateriel","regleJeu","don","timeDon","vente","timeVente","actif"
"74","673","673-74","1","600","0","Marques d'usure sur le boîte. Un trou à l'arrière de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"75","184","184-75","1","800","0","Marques d'usure sur la boîte. Jonction du plateau légèrement usée à un endroit.","0","ÉTAT MOYEN","ÉTAT MOYEN","SUR LA BOITE","0","0","8.00|ESPÈCES","1663500011","0"
"76","294","294-76","1","600","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"77","368","368-77","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"78","804","804-78","1","1900","0","Scotch sur un côté de la boîte","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"79","822","822-79","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"80","98","98-80","1","1100","0","Marques d'usure.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"81","283","283-81","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"82","54","54-82","1","1100","0","Marques de pliure sur deux coins de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"83","779","779-83","1","600","0","Scotch sur 3 coins du boîtier supérieur.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"84","865","865-84","1","700","0","Scotch dans un coin du boîtier supérieur.
Tâches sur le boîtier supérieur.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"85","113","113-85","1","1100","0","Au dos du boîtier : scotch sur la gauche, déchirures sur la droite.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"86","222","222-86","1","700","0","Scotch aux 4 angles du boîtier supérieur.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"87","330","330-87","1","1200","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"88","54","54-88","1","1100","0","Usure normale aux arêtes du boîtier.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"89","96","96-89","0","700","0","Une arête de la boîte un peu abîmée.","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0","|CB","1668456604","0"
"90","216","216-90","1","900","0","Un petit bout de scotch sur un côté de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"91","850","850-91","1","1000","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"92","947","947-92","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0","5.00|ESPÈCES","1663490135","0"
"93","948","948-93","1","2000","0",NULL,"0","COMME NEUF","COMME NEUF","ORIGINALE","0","0",NULL,NULL,"1"
"94","949","949-94","1","1500","0",NULL,"0","COMME NEUF","COMME NEUF","ORIGINALE","0","0",NULL,NULL,"1"
"95","950","950-95","0","1700","0",NULL,"1","COMME NEUF","COMME NEUF","ORIGINALE","0","0","|CB","1655842858","0"
"96","652","652-96","0","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1665992286","0"
"97","951","951-97","0","2200","0","N'a jamais servi. Certains paquets de carte sont encore sous plastique.","1","COMME NEUF","COMME NEUF","ORIGINALE","0","0","|CB","1657104180","0"
"98","952","952-98","1","1900","0","Trois angles de la boîte ont été scotchés sinon elle est en bon état.","0","ÉTAT MOYEN","COMME NEUF","ORIGINALE","0","0","19.00|ESPÈCES","1663512193","0"
"99","953","953-99","1","1500","0","Un petit impact au dos de la boîte. Le matériel est neuf, il n'est pas dépunché.","0","BON ÉTAT","COMME NEUF","ORIGINALE","0","0",NULL,NULL,"1"
"100","954","954-100","1","1500","0",NULL,"0","BON ÉTAT","COMME NEUF","ORIGINALE","0","0","15|ESPÈCES","1663267556","0"
"101","955","955-101","1","700","0",NULL,"1","COMME NEUF","COMME NEUF","ORIGINALE","0","0","7.00|ESPÈCES","1663500128","0"
"102","956","956-102","1","900","0","Un côté de la boîte scotché et un petit impact dans un angle. Le reste de la boîte est en bon état.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","1","1668538167",NULL,NULL,"0"
"103","957","957-103","1","700","0","Boîte légèrement enfoncée sur le dessous.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"104","966","966-104","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"105","968","968-105","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","SANS","1","1655759018",NULL,NULL,"0"
"106","981","981-106","1","1200","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"107","91","91-107","1","200","0","Quelques tâches sur la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","2.00|ESPÈCES","1663500889","0"
"108","929","929-108","1","300","0","Coins de la boîte un peu usés.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","3.00|ESPÈCES","1663512022","0"
"109","315","315-109","0","400","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1667900892","0"
"110","377","377-110","1","900","0","Papier arraché à un endroit sur le dessus de la boîte + 2 angles scotchés","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"111","924","924-111","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"113","274","274-113","1","1100","0","Coins de la boîte usés.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"115","555","555-115","1","1100","0","Un angle de la boîte scotché.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","11.00|ESPÈCES","1663511907","0"
"116","527","527-116","1","500","0","Coins de la boîte légèrement usés.","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"117","777","777-117","1","2400","0","Un coin de la boîte scotché + légères marques d'usure.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"118","331","331-118","1","1400","0","Coins de la boîte un peu usés.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"119","119","119-119","1","600","0","Coins de la boîte légèrement enfoncés. Traces d'humidité à l'intérieur du couvercle.","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0","6.00|ESPÈCES","1663497073","0"
"120","233","233-120","1","700","0","Coins de la boîte légèrement usés.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"121","214","214-121","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"122","27","27-122","0","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1667900892","0"
"123","242","242-123","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","SUR LA BOITE","0","0",NULL,NULL,"1"
"124","1044","1044-124","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"125","705","705-125","1","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","8.00|ESPÈCES","1663511792","0"
"126","376","376-126","1","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"127","316","316-127","1","900","0","Au recto : marques d'usure sur les côtés de boîte.
Au verso : un coin de la boîte abimée.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","9.00|ESPÈCES","1663497236","0"
"128","831","831-128","1","700","0","Boîte en bon état mais une petite inscription au bic sur le recto","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"129","1082","1082-129","1","300","0","Scotch sur un angle du boîtier supérieur.","0","BON ÉTAT","ÉTAT MOYEN","SUR LA BOITE","0","0",NULL,NULL,"1"
